,precision,recall,f1-score,support
0,0.9036585365853659,0.7159420289855073,0.798921832884097,1035.0
1,0.5008488964346349,0.7887700534759359,0.612668743509865,374.0
accuracy,0.7352732434350603,0.7352732434350603,0.7352732434350603,0.7352732434350603
macro avg,0.7022537165100005,0.7523560412307215,0.705795288196981,1409.0
weighted avg,0.7967381636851719,0.7352732434350603,0.7494834684937757,1409.0
