,precision,recall,f1-score,support
0,0.9,0.7565217391304347,0.8220472440944881,1035.0
1,0.5324675324675324,0.767379679144385,0.628696604600219,374.0
accuracy,0.759403832505323,0.759403832505323,0.759403832505323,0.759403832505323
macro avg,0.7162337662337662,0.7619507091374098,0.7253719243473535,1409.0
weighted avg,0.8024434756159383,0.759403832505323,0.7707249309852925,1409.0
